ID,Date,Home,Away,Team,Player,MINS,POSS,FGM,FGA,FG.,TPM,TPA,TP.,FTM,FTA,FT.,RIMA,RIMM,RIM.,TS.,eFG.,PBACK,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,GS
4655440,11/08/2018,Northwestern,New Orleans,Northwestern,AJ.TURNER,31.27,51.97,1,9,0.11,0,5,0,9,10,0.9,3,1,0.33,0.4,0.11,0,0,3,4,0,0,3,3,11,4.2
4655440,11/08/2018,Northwestern,New Orleans,Northwestern,ANTHONY.GAINES,25.6,41.56,2,5,0.4,0,0,0,1,2,0.5,2,2,1,0.42,0.4,0,1,3,1,1,3,1,4,5,4.7
4655440,11/08/2018,Northwestern,New Orleans,Northwestern,BARRET.BENSON,8.13,13.66,0,1,0,0,0,0,1,2,0.5,1,0,0,0.26,0,0,3,3,0,0,0,0,2,1,2.1
4655440,11/08/2018,Northwestern,New Orleans,Northwestern,DERERK.PARDON,31.53,51.24,4,5,0.8,0,0,0,5,6,0.83,5,4,0.8,0.83,0.8,2,7,4,2,1,0,0,1,13,18.8
4655440,11/08/2018,Northwestern,New Orleans,Northwestern,JORDAN.ASH,13.54,21.41,1,2,0.5,0,1,0,0,0,0,1,1,1,0.5,0.5,0,0,1,0,2,0,0,1,2,2.9
4655440,11/08/2018,Northwestern,New Orleans,Northwestern,MILLER.KOPP,27.7,46.28,3,6,0.5,1,3,0.33,2,2,1,1,1,1,0.65,0.58,1,2,1,3,1,1,2,1,9,9.1
4655440,11/08/2018,Northwestern,New Orleans,Northwestern,PETE.NANCE,6.73,10.74,1,4,0.25,1,3,0.33,0,0,0,0,0,0,0.38,0.38,0,0,1,1,0,0,1,1,3,0.2
4655440,11/08/2018,Northwestern,New Orleans,Northwestern,RYAN.GREER,2.22,4.24,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7
4655440,11/08/2018,Northwestern,New Orleans,Northwestern,RYAN.TAYLOR,17.26,25.75,7,15,0.47,6,11,0.55,0,0,0,1,0,0,0.67,0.67,0,0,1,0,0,0,0,2,20,11.8
4655440,11/08/2018,Northwestern,New Orleans,Northwestern,VIC.LAW,34.35,57.66,6,12,0.5,3,6,0.5,3,4,0.75,2,1,0.5,0.65,0.62,0,1,5,5,2,2,1,3,18,18.5
4655528,11/06/2018,Minnesota,Omaha,Minnesota,AMIR.COFFEY,23.55,45.46,5,7,0.71,0,0,0,8,8,1,6,5,0.83,0.83,0.71,0,0,2,4,2,0,2,2,18,17.7
4655528,11/06/2018,Minnesota,Omaha,Minnesota,BRADY.RUDRUD,0.9,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4655528,11/06/2018,Minnesota,Omaha,Minnesota,BROCK.STULL,14.7,29.04,3,4,0.75,2,3,0.67,0,0,0,1,1,1,1,1,0,0,1,1,0,0,2,1,8,5
4655528,11/06/2018,Minnesota,Omaha,Minnesota,DANIEL.OTURU,24.45,45.89,5,6,0.83,0,0,0,4,6,0.67,6,5,0.83,0.79,0.83,4,5,3,1,0,2,2,4,14,13.9
4655528,11/06/2018,Minnesota,Omaha,Minnesota,DUPREE.MCBRAYER,22.09,41.51,6,8,0.75,5,6,0.83,0,0,0,0,0,0,1.06,1.06,0,0,1,2,1,0,1,1,17,15.1
4655528,11/06/2018,Minnesota,Omaha,Minnesota,GABE.KALSCHEUR,16.9,33.54,3,6,0.5,2,3,0.67,0,0,0,2,1,0.5,0.67,0.67,0,1,1,2,0,0,0,2,8,6.6
4655528,11/06/2018,Minnesota,Omaha,Minnesota,HUNT.CONROY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4655528,11/06/2018,Minnesota,Omaha,Minnesota,ISAIAH.WASHINGTON,24.38,46.91,2,5,0.4,0,3,0,0,0,0,0,0,0,0.4,0.4,0,0,4,11,2,0,2,0,4,10.2
4655528,11/06/2018,Minnesota,Omaha,Minnesota,JARVIS.OMERSA,15.25,32.59,4,5,0.8,0,0,0,0,1,0,5,4,0.8,0.73,0.8,1,2,0,0,0,0,1,2,8,5.3
4655528,11/06/2018,Minnesota,Omaha,Minnesota,JORDAN.MURPHY,24.35,44.7,5,10,0.5,0,2,0,2,4,0.5,4,4,1,0.5,0.5,0,2,8,5,0,1,4,2,12,9.4
4655528,11/06/2018,Minnesota,Omaha,Minnesota,MATZ.STOCKMAN,15.23,32.11,4,5,0.8,0,0,0,1,2,0.5,5,4,0.8,0.76,0.8,0,0,5,0,0,2,0,0,9,9.6
4655528,11/06/2018,Minnesota,Omaha,Minnesota,MICHAEL.HURT,16.61,36.01,2,5,0.4,1,4,0.25,1,2,0.5,1,1,1,0.5,0.5,0,1,2,2,0,0,4,2,6,0.8
4655543,11/06/2018,Indiana,Chicago St.,Indiana,CLIFTON.MOORE,6.93,14.38,2,3,0.67,0,0,0,0,1,0,2,2,1,0.58,0.67,1,2,1,1,1,1,0,1,4,6
4655543,11/06/2018,Indiana,Chicago St.,Indiana,DAMEZI.ANDERSON,20.27,40.7,2,5,0.4,1,3,0.33,0,0,0,1,1,1,0.5,0.5,0,1,3,2,0,0,0,2,5,4.5
4655543,11/06/2018,Indiana,Chicago St.,Indiana,DERON.DAVIS,11.94,23.46,2,2,1,0,0,0,0,3,0,2,2,1,0.58,1,0,0,2,0,0,1,1,2,4,1.7
4655543,11/06/2018,Indiana,Chicago St.,Indiana,DEVONTE.GREEN,26.17,54.81,5,12,0.42,1,6,0.17,4,4,1,2,2,1,0.54,0.46,0,0,0,3,2,0,4,2,15,7.9
4655543,11/06/2018,Indiana,Chicago St.,Indiana,EVAN.FITZNER,15.83,31.47,5,6,0.83,1,2,0.5,3,3,1,4,4,1,0.94,0.92,0,0,6,0,0,1,0,0,14,14.3
4655543,11/06/2018,Indiana,Chicago St.,Indiana,JAKE.FORRESTER,6.23,13.14,2,3,0.67,0,0,0,0,1,0,2,1,0.5,0.58,0.67,0,2,2,0,0,0,1,1,4,2.9
4655543,11/06/2018,Indiana,Chicago St.,Indiana,JOHNNY.JAGER,4.4,9.66,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1.5
4655543,11/06/2018,Indiana,Chicago St.,Indiana,JUSTIN.SMITH,16.85,35.78,4,7,0.57,0,0,0,5,8,0.62,7,4,0.57,0.6,0.57,0,2,3,0,2,0,2,2,13,10
4655543,11/06/2018,Indiana,Chicago St.,Indiana,JUWAN.MORGAN,22.22,43.44,4,9,0.44,1,2,0.5,0,0,0,6,3,0.5,0.5,0.5,2,5,3,3,0,2,2,3,9,9
4655543,11/06/2018,Indiana,Chicago St.,Indiana,QUENTIN.TAYLOR,2.67,6.19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.6
