Player,Name,Position,Team
AARON.FALZON,Aaron Falzon,F,Northwestern
AARON.HENRY,Aaron Henry,F,Michigan St.
AARON.JORDAN,Aaron Jordan,G,Illinois
AARON.WHEELER,Aaron Wheeler,F,Purdue
AARON.WIGGINS,Aaron Wiggins,G,Maryland
ADONIS DE LA.ROSA,Adonis De La Rosa,C,Illinois
ADONIS.DE.LA.ROSA,Adonis De La Rosa,C,Illinois
ADRIEN.NUNEZ,Adrien Nunez,G,Michigan
AJ.TURNER,AJ Turner,F,Northwestern
ALAN.GRIFFIN,Alan Griffin,G,Illinois
ALEEM.FORD,Aleem Ford,F,Wisconsin
ALJAMI.DURHAM,Aljami Durham,G,Indiana
AMIR.COFFEY,Amir Coffey,G,Minnesota
AMIR.HARRIS,Amir Harris,G,Nebraska
ANDRE.WESSON,Andre Wesson,F,Ohio St.
ANDRES.FELIZ,Andres Feliz,G,Illinois
ANDREW.TERRELL,Andrew Terrell,G,Maryland
ANTHONY.COWAN,Anthony Cowan,G,Maryland
ANTHONY.GAINES,Anthony Gaines,G,Northwestern
AUSTIN.ASH,Austin Ash,G,Iowa
AUSTIN.DAVIS,Austin Davis,F,Michigan
AYO.DOSUNMU,Ayo Dosunmu,G,Illinois
BARRET.BENSON,Barret Benson,C,Northwestern
BRAD.DAVISON,Brad Davison,G,Wisconsin
BRADEN.BURKE,Braden Burke,F,Michigan St.
BRADY.HEIMAN,Brady Heiman,F,Nebraska
BRADY.RUDRUD,Brady Rudrud,G,Minnesota
BRANDON.JOHNS JR,Brandon Johns Jr,F,Michigan
BRANDON.JOHNS.JR,Brandon Johns Jr,F,Michigan
BREVIN.PRITZL,Brevin Pritzl,G,Wisconsin
BROCK.STULL,Brock Stull,G,Minnesota
BROCK.WASHINGTON,Brock Washington,G,Michigan St.
BRUNO.FERNANDO,Bruno Fernando,F,Maryland
CALEB.MCCONNELL,Caleb McConnell,G,Rutgers
CARSEN.EDWARDS,Carsen Edwards,G,Purdue
CASSIUS.WINSTON,Cassius Winston,G,Michigan St.
CHARLES.MATTHEWS,Charles Matthews,G,Michigan
CHARLES.THOMAS,Charles Thomas IV,F,Wisconsin
CHARLES.THOMAS IV,Charles Thomas IV,F,Wisconsin
CHARLES.THOMAS.IV,Charles Thomas IV,F,Wisconsin
CHARLIE.HALL,Charlie Hall,F,Northwestern
CJ.BAIRD,CJ Baird,F,Michigan
CJ.FREDRICK,CJ Frederick,G,Iowa
CJ.JACKSON,CJ Jackson,G,Ohio St.
CLIFTON.MOORE,Clifton Moore,F,Indiana
COLIN.CASTLETON,Colin Castleton,F,Michigan
CONNER.GEORGE,Conner George,G,Michigan St.
CONNOR.MCCAFFERY,Connor Mccaffery,G,Iowa
CORDELL.PEMSL,Cordell Pemsl,F,Iowa
DAMEZI.ANDERSON,Damezi Anderson,F,Indiana
DAMONTE.WILLIAMS,Damonte Williams,G,Illinois
DANIEL.OTURU,Daniel Oturu,C,Minnesota
DANIIL.KASATKIN,Daniil Kasatkin,G,Penn St.
DANNY.HUMMER,Danny Hummer,G,Ohio St.
DARRYL.MORSELL,Darryl Morsell,G,Maryland
DAVID.DEJULIUS,David DeJulius,G,Michigan
DEIVIS.ZEMGULIS,Deivis Zemgulis,F,Penn St.
DERERK.PARDON,Dererk Pardon,C,Northwestern
DERON.DAVIS,Deron Davis,F,Indiana
DEVONTE.GREEN,Devonte Green,G,Indiana
DMITRIK.TRICE,D'Mitrik Trice,G,Wisconsin
DREW.CAYCE,Drew Cayce,G,Illinois
DUANE.WASHINGTON JR,Duane Washington Jr,G,Ohio St.
DUANE.WASHINGTON.JR,Duane Washington Jr,G,Ohio St.
DUPREE.MCBRAYER,Dupree McBrayer,G,Minnesota
ELI.BROOKS,Eli Brooks,G,Michigan
ERIC.AYALA,Eric Ayala,G,Maryland
ERIC.CURRY,Eric Curry,F,Minnesota
ERIC.HUNTER JR,Eric Hunter Jr,G,Purdue
ERIC.HUNTER.JR,Eric Hunter Jr,G,Purdue
ETHAN.HAPP,Ethan Happ,F,Wisconsin
EUGENE.OMORUYI,Eugene Omoruyi,F,Rutgers
EVAN.BOUDREAUX,Evan Boudreaux,F,Purdue
EVAN.FITZNER,Evan Fitzner,F,Indiana
FOSTER.LOYER,Foster Loyer,G,Michigan St.
GABE.BROWN,Gabe Brown,F,Michigan St.
GABE.KALSCHEUR,Gabe Kalscheur,G,Minnesota
GEO.BAKER,Geo Baker,G,Rutgers
GIORGI.BEZHANISHVILI,Giorgi Bezhanishvili,F,Illinois
GLYNN WATSON JR.,Glynn Watson Jr,G,Nebraska
GLYNN.WATSON,Glynn Watson Jr,G,Nebraska
GLYNN.WATSON JR,Glynn Watson Jr,G,Nebraska
GLYNN.WATSON.JR,Glynn Watson Jr,G,Nebraska
GRADY.EIFERT,Grady Eifert,F,Purdue
GRANT.HAZLE,Grant Hazle,F,Penn St.
HARRISON.HOOKFIN,Harrison Hookfin,F,Ohio St.
HUNT.CONROY,Conroy Hunt,G,Minnesota
IGNAS.BRAZDEIKIS,Ignas Brazdeikis,F,Michigan
ISAAC COPELAND JR.,Isaac Copeland Jr,F,Nebraska
ISAAC.COPELAND,Isaac Copeland Jr,F,Nebraska
ISAAC.COPELAND JR,Isaac Copeland Jr,F,Nebraska
ISAIAH.LIVERS,Isaiah Livers,F,Michigan
ISAIAH.MOSS,Isaiah Moss,G,Iowa
ISAIAH.ROBY,Isaiah Roby,F,Nebraska
ISAIAH.WASHINGTON,Isaiah Washington,G,Minnesota
ISSA.THIAM,Issa Thiam,F,Rutgers
IVAN.BENDER,Ivan Bender,F,Maryland
JACK.HOIBERG,Jack Hoiberg,G,Michigan St.
JAEDON.LEDEE,Jaedon LeDee,F,Ohio St.
JAKE.FORRESTER,Jake Forrester,F,Indiana
JALEN.SMITH,Jalen Smith,F,Maryland
JAMARI.WHEELER,Jamari Wheeler,G,Penn St.
JAMES PALMER JR.,James Palmer Jr,G,Nebraska
JAMES.PALMER,James Palmer Jr,G,Nebraska
JAMES.PALMER JR,James Palmer Jr,G,Nebraska
JARVIS.OMERSA,Jarvis Omersa,F,Minnesota
JOE.WIESKAMP,Joe Wieskamp,G,Iowa
JOEY.DOWNES,Joey Downes,G,Rutgers
JOEY.LANE,Joey Lane,G,Ohio St.
JOHN.HARRAR,John Harrar,F,Penn St.
JOHNNY.JAGER,Johnny Jager,G,Indiana
JOHNNY.TRUEBLOOD,Johnny Trueblood,G,Nebraska
JON.TESKE,Jon Teske,C,Michigan
JORDAN.ASH,Jordan Ash,G,Northwestern
JORDAN.BOHANNON,Jordan Bohannon,G,Iowa
JORDAN.MURPHY,Jordan Murphy,F,Minnesota
JORDAN.POOLE,Jordan Poole,G,Michigan
JOSH.REAVES,Josh Reaves,G,Penn St.
JOSHUA.LANGFORD,Joshua Langford,G,Michigan St.
JOSHUA.TOMAIC,Joshua Tomaic,F,Maryland
JR.BINGHAM,Marcus Bingham Jr,F,Michigan St.
JUSTIN.AHRENS,Justin Ahrens,F,Ohio St.
JUSTIN.COSTELLO,Justin Costello,G,Nebraska
JUSTIN.SMITH,Justin Smith,F,Indiana
JUWAN.MORGAN,Juwan Morgan,F,Indiana
KALEB.WESSON,Kaleb Wesson,F,Ohio St.
KENNY.GOINS,Kenny Goins,F,Michigan St.
KEYSHAWN.WOODS,Keyshawn Woods,G,Ohio St.
KHALIL.IVERSON,Khalil Iverson,F,Wisconsin
KIPPER.NICHOLS,Kipper Nichols,F,Illinois
KOBE.KING,Kobe King,G,Wisconsin
KYLE.AHRENS,Kyle Ahrens,G,Michigan St.
KYLE.KING,Kyle King,F,Purdue
KYLE.MCCLOSKEY,Kyle McCloskey,G,Penn St.
KYLE.YOUNG,Kyle Young,F,Ohio St.
LAMAR.STEVENS,Lamar Stevens,F,Penn St.
LUKA.GARZA,Luka Garza,F,Iowa
LUKE.WILSON,Luke Wilson,G,Michigan
LUTHER.MUHAMMAD,Luther Muhammad,G,Ohio St.
MAISHE.DAILEY,Maishe Dailey,G,Iowa
MAMADOU.DOUCOURE,Mamadou Doucoure,F,Rutgers
MARCUS BINGHAM JR.,Marcus Bingham Jr,F,Michigan St.
MARCUS BINGHAM.JR,Marcus Bingham Jr,F,Michigan St.
MARCUS.BINGHAM JR,Marcus Bingham Jr,F,Michigan St.
MARCUS.BINGHAM.JR,Marcus Bingham Jr,F,Michigan St.
MATT.HAARMS,Matt Haarms,C,Purdue
MATT.MCQUAID,Matt McQuaid,G,Michigan St.
MATZ.STOCKMAN,Matz Stockman,C,Minnesota
MICHAEL.BAER,Michael Baer,F,Iowa
MICHAEL.BALLARD,Michael Ballard,G,Wisconsin
MICHAEL.HURT,Michael Hurt,F,Minnesota
MIKE.WATKINS,Mike Watkins,F,Penn St.
MILLER.KOPP,Miller Kopp,F,Northwestern
MONTEZ.MATHIS,Montez Mathis,G,Rutgers
MUSA.JALLOW,Musa Jallow,G,Ohio St.
MYLES.DREAD,Myles Dread,G,Penn St.
MYLES.JOHNSON,Myles Johnson,C,Rutgers
MYREON.JONES,Myreon Jones,G,Penn St.
NANA.AKENTEN,Nana Akenten,G,Nebraska
NATE.REUVERS,Nate Reuvers,F,Wisconsin
NICHOLAS.BAER,Nicholas Baer,F,Iowa
NICK.WARD,Nick Ward,F,Michigan St.
NICOLAS.HOBBS,Nicolas Hobbs,G,Iowa
NOJEL.EASTERN,Nojel Eastern,G,Purdue
PETE.NANCE,Pete Nance,F,Northwestern
PETER.KISS,Peter Kiss,G,Rutgers
QUENTIN.TAYLOR,Quentin Taylor,G,Indiana
RACE.THOMPSON,Race Thompson,F,Indiana
RASIR.BOLTON,Rasir Bolton,G,Penn St.
REESE.MONA,Reese Mona,G,Maryland
RICKY LINDO JR.,Ricky Lindo Jr,F,Maryland
RICKY.LINDO,Ricky Lindo Jr,F,Maryland
RICKY.LINDO JR,Ricky Lindo Jr,F,Maryland
RICKY.LINDO.JR,Ricky Lindo Jr,F,Maryland
RICO.OZUNAHARRISON,Rico Ozuna-Harrison,G,Michigan
RILEY.TILL,Riley Till,F,Iowa
ROB.PHINISEE,Rob Phinisee,G,Indiana
ROMEO.LANGFORD,Romeo Langford,G,Indiana
